,0
train_loss,"[0.20712574878019446, 0.18552788158865535, 0.1748659537932452, 0.16750847190408147, 0.1616024403179393, 0.15751406447466682, 0.15330420995039098, 0.14974373444388894, 0.1464325216181138, 0.14368626062168793, 0.14236196419210995, 0.13947905319999246, 0.13814029611138737, 0.13657357959747315, 0.13627918705098768, 0.13587562813478357, 0.13450427462072934, 0.13429814417221966, 0.13383649661120248, 0.1335586848819957]"
train_acc,"[0.3896470588235294, 0.5411294117647059, 0.6241882352941176, 0.6775058823529412, 0.7199529411764706, 0.7531529411764706, 0.7863058823529412, 0.8145411764705882, 0.8399058823529412, 0.8623294117647059, 0.8780470588235294, 0.8997411764705883, 0.9161882352941176, 0.9300705882352941, 0.9354117647058824, 0.9432, 0.9559294117647059, 0.960564705882353, 0.9671764705882353, 0.971764705882353]"
val_loss,"[0.17947375383377076, 0.16556552165349325, 0.16093196484247843, 0.15921829592386882, 0.1552770250002543, 0.1569517617225647, 0.15533761494954426, 0.1551929461479187, 0.15502178551355997, 0.1611785311381022, 0.15922135683695476, 0.16033859434127806, 0.1588814207235972, 0.162956014919281, 0.16640076398849488, 0.1706798690478007, 0.16774296131134034, 0.17027037041982016, 0.1725521079381307, 0.17416477139790854]"
val_acc,"[0.4564, 0.5892, 0.6198666666666667, 0.6518666666666667, 0.6816, 0.6404, 0.7229333333333333, 0.7192, 0.7164, 0.7077333333333333, 0.7233333333333334, 0.7228, 0.71, 0.7381333333333333, 0.7229333333333333, 0.7102666666666667, 0.7354666666666667, 0.7344, 0.7202666666666667, 0.7418666666666667]"
time,1506.118077993393
test_loss,0.1445730687379837
test_correct,"[833.0, 837.0, 694.0, 449.0, 589.0, 701.0, 675.0, 739.0, 784.0, 743.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,70.44
