,0
train_loss,"[1.2875955800224752, 1.2691298046785242, 1.261593682457419, 1.2579340537127326, 1.2564621601777919, 1.2549133657118854, 1.2554775172065287, 1.2568178856793573, 1.2579524848040413, 1.2617225151959588, 1.2647225022708668, 1.26680569525326, 1.270578191689884, 1.2738484109317556, 1.2779209912019618, 1.281806896389232, 1.2861541489993824, 1.2897498722749599, 1.293635664277918, 1.2970221232694739]"
train_acc,"[0.38985882352941176, 0.5376, 0.6210823529411764, 0.674, 0.7119764705882353, 0.7552, 0.7844705882352941, 0.810635294117647, 0.8393411764705883, 0.8508470588235294, 0.8747764705882353, 0.901035294117647, 0.9145411764705882, 0.9310352941176471, 0.9397411764705882, 0.9465411764705882, 0.9510588235294117, 0.9597882352941176, 0.9619294117647059, 0.9679529411764706]"
val_loss,"[1.1456752184549968, 1.1815609601338704, 1.1265666320800782, 1.1366629707336426, 1.0789085042317708, 1.1253575307210286, 1.1516633646647136, 1.1783003929138183, 1.1587707476298015, 1.167621351369222, 1.141739103190104, 1.1653928568522136, 1.1931249407450357, 1.1586322675069174, 1.1687230878194173, 1.1893272870381673, 1.1762464579264322, 1.2102298146565755, 1.1303078954060872, 1.1893780087788899]"
val_acc,"[0.49106666666666665, 0.6042666666666666, 0.6350666666666667, 0.6174666666666667, 0.6764, 0.684, 0.7021333333333334, 0.7224, 0.7188, 0.7188, 0.6968, 0.7265333333333334, 0.734, 0.7150666666666666, 0.7372, 0.7344, 0.7425333333333334, 0.7357333333333334, 0.7073333333333334, 0.7389333333333333]"
time,1527.0036489963531
test_loss,0.9655895553588867
test_correct,"[850.0, 818.0, 562.0, 518.0, 630.0, 474.0, 828.0, 646.0, 567.0, 725.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,66.18
