,0
train_loss,"[0.16794799228556015, 0.16151342165329877, 0.17031845382802627, 0.18342169110354256, 0.19961704224979177, 0.21841239162893855, 0.23989804467593923, 0.26338964798871206, 0.28992331039204317, 0.3183999926510979, 0.3497366083369536, 0.3835965755799237, 0.4192937178331263, 0.4565972177168902, 0.49381035180933336, 0.5309682629529168, 0.5683372978434843, 0.6053895782695097, 0.6420914349724265, 0.6762367650424733]"
train_acc,"[0.2661176470588235, 0.4615764705882353, 0.5327294117647059, 0.587764705882353, 0.6377411764705883, 0.678, 0.7130117647058823, 0.7431764705882353, 0.7696470588235295, 0.7987058823529412, 0.8237176470588236, 0.8499058823529412, 0.8707058823529412, 0.8879058823529412, 0.9041882352941176, 0.9205411764705882, 0.9287529411764706, 0.9370117647058823, 0.9415764705882353, 0.9486117647058824]"
val_loss,"[0.14206697947184244, 0.14159244559605916, 0.14633389383951823, 0.1442367403348287, 0.16250262403488158, 0.16568427883783976, 0.2018924838066101, 0.2124125925064087, 0.22033342008590698, 0.25079883998235064, 0.28250785210927326, 0.2957284278233846, 0.32480450661977134, 0.3565861548105876, 0.3787061855951945, 0.37602824497222903, 0.3932124917984009, 0.415812153116862, 0.46456882667541505, 0.47760210558573407]"
val_acc,"[0.3904, 0.5053333333333333, 0.5730666666666666, 0.6022666666666666, 0.6509333333333334, 0.6550666666666667, 0.6865333333333333, 0.6902666666666667, 0.6962666666666667, 0.7049333333333333, 0.7006666666666667, 0.6956, 0.6986666666666667, 0.6962666666666667, 0.6982666666666667, 0.6894666666666667, 0.6748, 0.6692, 0.6796, 0.6926666666666667]"
time,341.5728313922882
test_loss,0.10926357424259185
test_correct,"[634.0, 438.0, 359.0, 155.0, 450.0, 494.0, 693.0, 553.0, 680.0, 662.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,51.18
