,0
train_loss,"[0.09872121759582968, 0.08880580510812647, 0.08422449430577895, 0.08104046193150913, 0.07854425884274875, 0.07616431899631725, 0.07424340741494123, 0.07226153482829824, 0.07059706682177151, 0.06888224532323725, 0.06738919528091655, 0.06573159276457394, 0.06420373396873474, 0.06243263039588928, 0.060722249916020564, 0.059107453204603755, 0.057282818774616016, 0.055886709896255944, 0.054157757522078125, 0.05254306048154831]"
train_acc,"[0.3219764705882353, 0.40501176470588235, 0.43741176470588233, 0.46301176470588234, 0.4776705882352941, 0.4999294117647059, 0.5168, 0.5292705882352942, 0.5420941176470588, 0.5589647058823529, 0.5709176470588235, 0.5846588235294118, 0.5973176470588235, 0.6103058823529411, 0.6258588235294118, 0.6431529411764706, 0.6617647058823529, 0.6718588235294117, 0.6860235294117647, 0.7030823529411765]"
val_loss,"[0.09010439354578655, 0.08746007272402445, 0.08212803856531779, 0.0812350798924764, 0.08068172597885132, 0.07715430274009705, 0.07626140673160553, 0.07623935462633769, 0.07744808961550395, 0.07674718599319458, 0.07608850464820861, 0.0750404602130254, 0.07400646532376608, 0.07543202532132466, 0.07534271653493245, 0.07768947872320811, 0.07545509614944458, 0.0771274570385615, 0.07855838651657104, 0.08228426223595937]"
val_acc,"[0.3816, 0.4109333333333333, 0.44293333333333335, 0.47, 0.4577333333333333, 0.48506666666666665, 0.5030666666666667, 0.5024, 0.4898666666666667, 0.5025333333333334, 0.5173333333333333, 0.5241333333333333, 0.5353333333333333, 0.5328, 0.5350666666666667, 0.5341333333333333, 0.5526666666666666, 0.548, 0.5414666666666667, 0.5309333333333334]"
time,325.3546597957611
test_loss,0.07322644082903862
test_correct,"[630.0, 716.0, 480.0, 297.0, 517.0, 345.0, 674.0, 561.0, 700.0, 468.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,53.88
