,0
train_loss,"[0.614846251745785, 0.6199516833585851, 0.6315012033574722, 0.6456889744478114, 0.6612845039143281, 0.6792308088639203, 0.6986553943409639, 0.7193595651289996, 0.7420018441144158, 0.766146887812895, 0.7923051882126753, 0.8200440408370074, 0.8499389516942641, 0.8814124462800867, 0.9144554277756635, 0.9502805310866412, 0.9881305996614344, 1.028487291986802, 1.0707418415293974, 1.115270206855325]"
train_acc,"[0.32101176470588233, 0.40548235294117646, 0.4368, 0.46108235294117644, 0.4839294117647059, 0.49978823529411764, 0.5132470588235294, 0.5297882352941177, 0.5419529411764706, 0.5576, 0.5717411764705882, 0.5869647058823529, 0.5988705882352942, 0.6126823529411765, 0.6272, 0.6422823529411764, 0.6569882352941177, 0.6730588235294117, 0.6855529411764706, 0.7039764705882353]"
val_loss,"[0.5755994000752767, 0.5983782558441162, 0.618200723139445, 0.6249899608612061, 0.6356069363911947, 0.665614337793986, 0.6803861362457275, 0.6974865924835205, 0.7165800299326579, 0.7418852316538492, 0.7736699097951253, 0.8083254161834716, 0.8205642944335938, 0.8583039663950602, 0.8800651610056559, 0.9193243047078451, 0.9613307072957357, 0.9801496040344239, 1.0407198501586914, 1.0794783020019532]"
val_acc,"[0.3292, 0.42893333333333333, 0.456, 0.46, 0.4746666666666667, 0.4904, 0.4958666666666667, 0.47813333333333335, 0.5065333333333333, 0.5064, 0.5324, 0.5344, 0.5336, 0.5413333333333333, 0.5294666666666666, 0.5318666666666667, 0.5376, 0.5296, 0.5436, 0.5493333333333333]"
time,319.34328532218933
test_loss,0.5414246150016785
test_correct,"[316.0, 437.0, 94.0, 254.0, 165.0, 118.0, 322.0, 808.0, 255.0, 569.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,33.38
