,0
train_loss,"[31.394295025275735, 31.4333815731273, 31.463091696346506, 31.494359380744484, 31.52845999540441, 31.566449126838236, 31.607432559742648, 31.652955191578585, 31.703340508674174, 31.755521761546415, 31.811186734547334, 31.868533507582722, 31.92578822667739, 31.982294189453125, 32.036880442899815, 32.08899280503217, 32.13994216164981, 32.1872973733341, 32.23083750861673, 32.27308535443474]"
train_acc,"[0.40385882352941177, 0.5404941176470588, 0.6197882352941176, 0.6760705882352941, 0.7177882352941176, 0.7520235294117648, 0.7837176470588235, 0.8108235294117647, 0.8348235294117647, 0.8563529411764705, 0.8751529411764706, 0.8932, 0.9043058823529412, 0.9193411764705882, 0.9286823529411765, 0.9375764705882353, 0.9465411764705882, 0.9551764705882353, 0.9584, 0.963835294117647]"
val_loss,"[28.78355215657552, 28.989816015625, 28.512998706054688, 28.786688232421874, 29.48438741048177, 29.04763876953125, 29.14255646158854, 28.674189070638022, 28.385618009440105, 28.559517545572916, 27.814042753092448, 28.209859887695313, 28.43609884440104, 29.16797140299479, 28.821048673502606, 28.684686376953124, 26.081411185709637, 29.231463321940105, 28.450011385091145, 28.49616451822917]"
val_acc,"[0.5148, 0.5945333333333334, 0.6257333333333334, 0.6578666666666667, 0.7033333333333334, 0.7082666666666667, 0.7121333333333333, 0.7141333333333333, 0.7190666666666666, 0.7322666666666666, 0.708, 0.7192, 0.7286666666666667, 0.7429333333333333, 0.748, 0.7417333333333334, 0.6878666666666666, 0.7485333333333334, 0.7433333333333333, 0.7393333333333333]"
time,5081.37703537941
test_loss,22.81336689453125
test_correct,"[806.0, 878.0, 684.0, 688.0, 551.0, 557.0, 805.0, 729.0, 756.0, 426.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,68.8
