,0
train_loss,"[3.214699195951574, 3.2006021767111386, 3.194008138768813, 3.1902871328017293, 3.1884823495303882, 3.1879789223166073, 3.188402440957462, 3.189588243192785, 3.1918239351160387, 3.1946802912095014, 3.197870191237506, 3.201406986999512, 3.2051492491778206, 3.209202200855928, 3.21333267696605, 3.218156791238224, 3.2216015009262984, 3.2254435891544118, 3.2295360292322495, 3.233255174883674]"
train_acc,"[0.40541176470588236, 0.5514823529411764, 0.6304470588235294, 0.6849411764705883, 0.7256470588235294, 0.7608705882352941, 0.7910352941176471, 0.8175764705882353, 0.839835294117647, 0.8640235294117647, 0.8816235294117647, 0.8976235294117647, 0.9160470588235294, 0.9269411764705883, 0.9358588235294117, 0.9396941176470588, 0.9519529411764706, 0.9568, 0.9603529411764706, 0.9651529411764705]"
val_loss,"[2.901272252400716, 2.8211486241658528, 2.7736597732543946, 2.876480455525716, 2.976562070719401, 2.902079807535807, 2.958454591369629, 2.934831588745117, 2.8980652323404947, 2.67445105082194, 2.8640778071085613, 2.916433561706543, 2.8211151550292968, 2.9064191355387368, 2.6309859685262045, 2.83857421875, 2.8502062057495117, 2.829615239461263, 2.93532591603597, 2.9121619974772135]"
val_acc,"[0.5237333333333334, 0.566, 0.5744, 0.6548, 0.6944, 0.6969333333333333, 0.7276, 0.7324, 0.7258666666666667, 0.6717333333333333, 0.7206666666666667, 0.7382666666666666, 0.728, 0.742, 0.6834666666666667, 0.7368, 0.7393333333333333, 0.7322666666666666, 0.7597333333333334, 0.756]"
time,5020.473395109177
test_loss,2.3527910778045653
test_correct,"[733.0, 479.0, 484.0, 544.0, 743.0, 521.0, 648.0, 847.0, 896.0, 920.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,68.15
