,0
train_loss,"[0.09937853302394642, 0.07539029364866369, 0.06420109052938573, 0.05570678133123061, 0.04922755698316238, 0.04421618732634713, 0.03966658174255315, 0.0357202671808355, 0.03196216483747258, 0.028569899047472896, 0.025296635631603354, 0.022518462963665234, 0.020021916809327463, 0.01787635697406881, 0.01662201056533, 0.015202610629796982, 0.015165702064948923, 0.014205746550244444, 0.014105731338262558, 0.013661012371848611]"
train_acc,"[0.27249411764705883, 0.4615529411764706, 0.5485411764705882, 0.6151529411764706, 0.6643294117647058, 0.7023529411764706, 0.7367294117647059, 0.7648941176470588, 0.7959294117647059, 0.8197882352941176, 0.8433411764705883, 0.867835294117647, 0.8872941176470588, 0.9051529411764706, 0.9175529411764706, 0.9298823529411765, 0.9332470588235294, 0.9445882352941176, 0.9463529411764706, 0.9530588235294117]"
val_loss,"[0.08082988103230794, 0.06614334173997244, 0.058819799788792926, 0.052788688711325325, 0.050627662098407744, 0.04921892788012822, 0.04448731083869934, 0.04632415285507838, 0.046438862427075706, 0.046856322729587556, 0.051161778006951014, 0.0550323450644811, 0.06171948810418447, 0.06380593969027201, 0.06694866336981456, 0.07323213765422504, 0.07933754720687866, 0.08181756511131923, 0.08721142248312633, 0.08904573131799698]"
val_acc,"[0.4165333333333333, 0.5248, 0.5796, 0.6282666666666666, 0.6494666666666666, 0.6632, 0.6988, 0.6894666666666667, 0.7036, 0.7121333333333333, 0.696, 0.7008, 0.6926666666666667, 0.6993333333333334, 0.7037333333333333, 0.6974666666666667, 0.69, 0.6938666666666666, 0.6954666666666667, 0.6966666666666667]"
time,344.70471262931824
test_loss,0.045052823269367215
test_correct,"[737.0, 793.0, 593.0, 477.0, 570.0, 607.0, 762.0, 773.0, 810.0, 793.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,69.15
