,0
train_loss,"[12.092296640912224, 12.103156796085134, 12.127084615550322, 12.158756323601217, 12.193666706040327, 12.231778053193933, 12.274609031407973, 12.322446886848, 12.374017221966911, 12.42782807222254, 12.482821958295037, 12.539061011819278, 12.595679302619486, 12.648308953857422, 12.701614329977597, 12.75219808924058, 12.798182156551585, 12.842822782987707, 12.883709321145451, 12.922199813304228]"
train_acc,"[0.3963058823529412, 0.5499294117647059, 0.6345176470588235, 0.6823294117647059, 0.7240470588235294, 0.7591764705882353, 0.7910588235294118, 0.8165176470588236, 0.8390588235294117, 0.8669176470588236, 0.8848, 0.9039529411764706, 0.9145882352941177, 0.9320941176470589, 0.9367294117647059, 0.9463058823529412, 0.9565882352941176, 0.9589647058823529, 0.9649882352941177, 0.9703294117647059]"
val_loss,"[10.313815596516926, 11.158636627197266, 10.388270658365885, 10.904589088948567, 10.090186220296223, 10.705650769042968, 10.870289192708332, 10.93617484741211, 10.878906921386719, 10.670913448079427, 11.351930832926433, 11.078264414469402, 11.165309012858073, 11.406816947428386, 11.351022517903646, 11.372102581787109, 11.268105450439453, 10.6549953125, 11.247367616780599, 11.326254364013671]"
val_acc,"[0.44533333333333336, 0.5989333333333333, 0.5732, 0.6590666666666667, 0.656, 0.6682666666666667, 0.7030666666666666, 0.6913333333333334, 0.7030666666666666, 0.6942666666666667, 0.7357333333333334, 0.7272, 0.7301333333333333, 0.7373333333333333, 0.7481333333333333, 0.7445333333333334, 0.7413333333333333, 0.7137333333333333, 0.7436, 0.7361333333333333]"
time,1528.154764175415
test_loss,8.899612213134766
test_correct,"[728.0, 740.0, 442.0, 311.0, 667.0, 491.0, 730.0, 770.0, 803.0, 824.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,65.06
