,0
train_loss,"[0.10060192205204684, 0.07612210167436038, 0.0652787874362048, 0.05773277489718269, 0.05170396698292564, 0.04648223355587791, 0.04233621799875708, 0.03861968070163446, 0.03502159630761427, 0.03152210635753239, 0.028378402411061175, 0.025380690989774815, 0.02264952472834026, 0.020277272469506544, 0.018640944998229252, 0.016668980338818886, 0.015555092907828444, 0.01482529953998678, 0.013825087245246944, 0.013543885545695529]"
train_acc,"[0.26329411764705885, 0.45381176470588236, 0.5385411764705882, 0.6002117647058823, 0.6483529411764706, 0.6855294117647058, 0.7160705882352941, 0.7446352941176471, 0.7697176470588235, 0.7972470588235294, 0.8206117647058824, 0.8446588235294118, 0.8646588235294118, 0.8856235294117647, 0.8983529411764706, 0.9155529411764706, 0.9253176470588236, 0.9328235294117647, 0.9404235294117647, 0.9453882352941176]"
val_loss,"[0.08572881952921549, 0.07141783964633942, 0.058808725158373515, 0.057941736284891764, 0.052257888746261597, 0.05350738712946574, 0.0532175461490949, 0.0503914133866628, 0.04945495510896047, 0.05072700632015864, 0.052170464015007016, 0.056275623973210655, 0.05821682310501734, 0.05944824709892273, 0.06310706550677618, 0.07067410791317622, 0.07290876026153564, 0.0775474805355072, 0.07953447488546371, 0.08298351032733917]"
val_acc,"[0.38813333333333333, 0.4998666666666667, 0.5882666666666667, 0.6026666666666667, 0.646, 0.636, 0.6505333333333333, 0.6704, 0.6905333333333333, 0.6873333333333334, 0.6932, 0.6857333333333333, 0.6881333333333334, 0.6924, 0.6933333333333334, 0.6808, 0.694, 0.6842666666666667, 0.6838666666666666, 0.6909333333333333]"
time,300.55388474464417
test_loss,0.05083415723443031
test_correct,"[737.0, 729.0, 523.0, 551.0, 700.0, 467.0, 730.0, 831.0, 775.0, 772.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,68.15
