,0
train_loss,"[0.1056203169149511, 0.0815115059039172, 0.07253882146302391, 0.06563547411385705, 0.060492143300000356, 0.05683784350016538, 0.05417792425295886, 0.05202556213070365, 0.050098259071742784, 0.04857514857544618, 0.04724534834763583, 0.04641241914664998, 0.04526727735785877, 0.04447907138221404, 0.04374121219831355, 0.04297459837969612, 0.042369706681195426, 0.04189014424576479, 0.04118014570895363, 0.04110021321002175]"
train_acc,"[0.2672, 0.45576470588235296, 0.5307529411764705, 0.5892, 0.6363294117647059, 0.6678588235294117, 0.6937176470588235, 0.7151764705882353, 0.7368705882352942, 0.7532470588235294, 0.7673882352941176, 0.7780705882352941, 0.7943294117647058, 0.8055764705882353, 0.8180705882352941, 0.8299529411764706, 0.8387529411764706, 0.8486588235294118, 0.8571058823529412, 0.8662117647058823]"
val_loss,"[0.08552962183952331, 0.07806086783409119, 0.06977352940241496, 0.062295973944664004, 0.060410373544692995, 0.0575373322168986, 0.05665918000539144, 0.05907106959025065, 0.05474844556649526, 0.05637472639878591, 0.05561713337103526, 0.05707835712432861, 0.06308161369164784, 0.05903959174950917, 0.06040841112136841, 0.06156943069299062, 0.06361736877759298, 0.061687323196729024, 0.06613576295375824, 0.06971208963394165]"
val_acc,"[0.41173333333333334, 0.47573333333333334, 0.5474666666666667, 0.6252, 0.6366666666666667, 0.6629333333333334, 0.6794666666666667, 0.6682666666666667, 0.7042666666666667, 0.7033333333333334, 0.7169333333333333, 0.7154666666666667, 0.6813333333333333, 0.7242666666666666, 0.7150666666666666, 0.7153333333333334, 0.7090666666666666, 0.7218666666666667, 0.7097333333333333, 0.7025333333333333]"
time,299.669713973999
test_loss,0.0556734381377697
test_correct,"[750.0, 815.0, 585.0, 490.0, 651.0, 598.0, 781.0, 724.0, 896.0, 734.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,70.24
