,0
train_loss,"[0.2874482955203337, 0.1142794640344732, 0.10063077865488389, 0.09958912621105419, 0.09934925392936257, 0.09936916414709653, 0.09928729763872483, 0.09929932182255913, 0.09922440808520598, 0.09921233244503246, 0.0991119844380547, 0.09921804433710435, 0.09930808620452881, 0.09928969543400933, 0.09937388390092289, 0.09931800165176391, 0.09922320301112007, 0.09927853714718538, 0.09922636554942411, 0.09936213213415707]"
train_acc,"[0.29294117647058826, 0.3392235294117647, 0.34665882352941174, 0.34741176470588236, 0.3522588235294118, 0.35421176470588234, 0.3564705882352941, 0.35776470588235293, 0.3579529411764706, 0.3598588235294118, 0.3604, 0.3613882352941176, 0.36317647058823527, 0.3624, 0.36312941176470587, 0.36496470588235297, 0.36672941176470586, 0.36364705882352943, 0.36258823529411766, 0.36263529411764706]"
val_loss,"[0.13913318478266398, 0.10114062689145406, 0.10045341149965922, 0.09705781070391337, 0.09915843931833904, 0.09794953285853068, 0.09869845976829529, 0.09821277918815613, 0.09874334341684977, 0.09853430773417154, 0.09792563891410827, 0.09723059671719869, 0.10072429803212483, 0.09790676720937093, 0.09948461465835572, 0.09974824371337891, 0.09776337540944417, 0.09950573844909667, 0.0979747496287028, 0.10235394253730774]"
val_acc,"[0.336, 0.3472, 0.33413333333333334, 0.3704, 0.3548, 0.36106666666666665, 0.3466666666666667, 0.35413333333333336, 0.3602666666666667, 0.3509333333333333, 0.3625333333333333, 0.37106666666666666, 0.35613333333333336, 0.35906666666666665, 0.34786666666666666, 0.35013333333333335, 0.37733333333333335, 0.35386666666666666, 0.3589333333333333, 0.3492]"
time,294.8470256328583
test_loss,0.09713276687860489
test_correct,"[493.0, 477.0, 65.0, 22.0, 594.0, 350.0, 410.0, 440.0, 532.0, 415.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,37.98
