,0
train_loss,"[0.08792626954106723, 0.06510138800985672, 0.054826740502609925, 0.048610546478103187, 0.04220430890391855, 0.03678158024794915, 0.03242315675546141, 0.028619042128499816, 0.02485601051519899, 0.020964699298055733, 0.01797367045581341, 0.015315303543122376, 0.013424549080519115, 0.011508520457367687, 0.009614712268508532, 0.008359608565665344, 0.007257039987120558, 0.00645890683132936, 0.007383875732518294, 0.005551591726699296]"
train_acc,"[0.3927058823529412, 0.549364705882353, 0.6243764705882353, 0.6663058823529412, 0.7138588235294118, 0.7511764705882353, 0.7824941176470588, 0.8071764705882353, 0.8337411764705882, 0.8589176470588236, 0.8785882352941177, 0.8998823529411765, 0.9112470588235294, 0.9253882352941176, 0.9385176470588236, 0.9466823529411764, 0.9552705882352941, 0.9607294117647058, 0.9547058823529412, 0.9682117647058823]"
val_loss,"[0.06874681254227956, 0.06407476925055186, 0.07128424518903097, 0.05481194594303767, 0.0496785871108373, 0.044692888816197714, 0.04307391923467318, 0.04943943409919739, 0.04534755365451177, 0.04926252777179082, 0.047010090096791586, 0.052156909108161925, 0.06327943653265636, 0.05309157483577728, 0.054930984163284305, 0.05807705719868342, 0.05885644401311874, 0.060010847494006155, 0.060865443593263624, 0.06260698366363843]"
val_acc,"[0.5204, 0.5526666666666666, 0.5068, 0.6402666666666667, 0.662, 0.6933333333333334, 0.7089333333333333, 0.6776, 0.7077333333333333, 0.7090666666666666, 0.71, 0.7104, 0.6801333333333334, 0.7229333333333333, 0.7213333333333334, 0.7113333333333334, 0.7216, 0.7218666666666667, 0.718, 0.7273333333333334]"
time,1171.4387969970703
test_loss,0.04435215617716312
test_correct,"[770.0, 725.0, 504.0, 496.0, 758.0, 648.0, 720.0, 763.0, 851.0, 852.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,70.87
