,0
train_loss,"[0.20880755516501034, 0.1887741952166838, 0.17819422411638147, 0.17059762779123644, 0.16441837880190682, 0.15906940090516034, 0.15437739656111774, 0.15079595876020543, 0.14696327953338623, 0.1431880835757536, 0.14078806939405553, 0.1379243547776166, 0.13590387052087222, 0.13338356748468735, 0.13238073363023645, 0.1305531221894657, 0.12965205465204577, 0.12776979394800522, 0.12729803865096148, 0.12670205897162942]"
train_acc,"[0.4096, 0.5463294117647058, 0.6239529411764706, 0.6758588235294117, 0.7170352941176471, 0.7524705882352941, 0.7863294117647058, 0.808, 0.8341176470588235, 0.8594588235294117, 0.8721411764705882, 0.8937411764705883, 0.9044705882352941, 0.9221176470588235, 0.9259058823529411, 0.939364705882353, 0.9450117647058823, 0.9561411764705883, 0.9576941176470588, 0.9600705882352941]"
val_loss,"[0.19760204718907673, 0.19559770889282227, 0.18087104301452636, 0.17112777961095174, 0.17762876977920533, 0.16787757720947266, 0.1657812418937683, 0.16516223859786988, 0.1637143522898356, 0.16680623871485392, 0.16708203134536742, 0.16894932254155476, 0.16658752225240073, 0.16790461451212566, 0.17060342423121133, 0.17039219767252603, 0.16958816951115926, 0.1773343626022339, 0.17133532212575275, 0.18257137800852458]"
val_acc,"[0.4861333333333333, 0.5208, 0.6121333333333333, 0.6750666666666667, 0.646, 0.6965333333333333, 0.7184, 0.7145333333333334, 0.7324, 0.7265333333333334, 0.7324, 0.7324, 0.7485333333333334, 0.746, 0.734, 0.7485333333333334, 0.7516, 0.7384, 0.7589333333333333, 0.7136]"
time,2874.3431491851807
test_loss,0.1653008568763733
test_correct,"[742.0, 843.0, 554.0, 712.0, 727.0, 422.0, 751.0, 827.0, 879.0, 788.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,72.45
