,0
train_loss,"[0.08674421893989338, 0.06672587528789745, 0.05550398995104958, 0.047658654177188876, 0.04163029835820198, 0.036436258645268046, 0.032379281526453356, 0.02808218528277734, 0.0245422310151598, 0.02157658425744842, 0.01895107768738971, 0.016327128005553693, 0.014094359043591163, 0.012924062594508423, 0.011092673946917058, 0.009684460433134262, 0.00949729822576046, 0.008395627177857301, 0.0069728825868052595, 0.006705908464070628]"
train_acc,"[0.39305882352941174, 0.5378352941176471, 0.6172235294117647, 0.6720705882352941, 0.715835294117647, 0.7528705882352941, 0.7829411764705883, 0.8109882352941177, 0.8366117647058824, 0.8579294117647058, 0.8748941176470588, 0.8945411764705883, 0.9076470588235294, 0.9170588235294118, 0.9318588235294117, 0.9409882352941177, 0.9421882352941177, 0.9492, 0.9608, 0.9624941176470588]"
val_loss,"[0.07357281666596731, 0.06115002905925115, 0.063770955991745, 0.04836278451283773, 0.046451960770289104, 0.047493016695976255, 0.04884492073059082, 0.04517376284996669, 0.04958510057727496, 0.04681475737094879, 0.04512117562691371, 0.0485374706586202, 0.051866721868515014, 0.04918919166823228, 0.049394291760524116, 0.051863606856266654, 0.05061847929656506, 0.05597318914930026, 0.0537064037779967, 0.056453310710191724]"
val_acc,"[0.47933333333333333, 0.578, 0.5741333333333334, 0.6696, 0.6882666666666667, 0.6890666666666667, 0.6926666666666667, 0.722, 0.6996, 0.7165333333333334, 0.736, 0.7326666666666667, 0.7137333333333333, 0.7433333333333333, 0.7416, 0.7430666666666667, 0.7524, 0.7364, 0.7572, 0.7396]"
time,3109.387204885483
test_loss,0.04704470720738173
test_correct,"[869.0, 848.0, 544.0, 506.0, 596.0, 704.0, 892.0, 725.0, 818.0, 793.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,72.95
