,0
train_loss,"[0.13200976479474236, 0.10504074449539184, 0.10137565615036909, 0.09933438448064467, 0.09756071185224197, 0.09626139631551854, 0.09521323351579554, 0.09444959358327529, 0.09393657687131096, 0.0936931422177483, 0.0935596131436965, 0.09317537151785457, 0.09297370760581072, 0.09277867600497078, 0.09279539185692283, 0.09274441984962015, 0.09247855776899001, 0.09258134480364183, 0.09235952548419728, 0.0924750841252944]"
train_acc,"[0.20047058823529412, 0.29098823529411766, 0.3295058823529412, 0.3612470588235294, 0.38329411764705884, 0.4027529411764706, 0.41305882352941176, 0.42110588235294116, 0.4320705882352941, 0.4340705882352941, 0.43736470588235293, 0.44138823529411764, 0.44277647058823527, 0.4490823529411765, 0.4452, 0.45101176470588233, 0.45230588235294117, 0.4544, 0.4595294117647059, 0.4602588235294118]"
val_loss,"[0.10713565022150676, 0.10203847935994466, 0.09877098604838054, 0.09949901118278504, 0.09446199005444844, 0.09387286607424418, 0.10252619727452596, 0.09298855783144633, 0.09157882501284281, 0.09146873644193014, 0.09136408883730571, 0.09226803027788798, 0.08919462803204854, 0.10282170356114706, 0.09242310142517089, 0.0909315281867981, 0.09159264030456543, 0.09031397476196289, 0.09111631789207458, 0.08933262308438619]"
val_acc,"[0.28733333333333333, 0.3168, 0.3409333333333333, 0.37306666666666666, 0.41173333333333334, 0.418, 0.3612, 0.4204, 0.44706666666666667, 0.436, 0.45493333333333336, 0.46186666666666665, 0.4729333333333333, 0.38053333333333333, 0.44813333333333333, 0.4614666666666667, 0.4614666666666667, 0.47413333333333335, 0.4609333333333333, 0.4836]"
time,320.1924421787262
test_loss,0.08908258613348007
test_correct,"[523.0, 472.0, 263.0, 492.0, 340.0, 243.0, 642.0, 475.0, 653.0, 652.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,47.55
