,0
train_loss,"[0.09882075147628784, 0.08870695731499616, 0.084024640417099, 0.08089950416789335, 0.078250171585644, 0.07583150330431321, 0.07381902570023256, 0.07198578620798447, 0.07015117926317103, 0.06863415361853206, 0.06681042085114647, 0.06545776041255277, 0.06360632521545186, 0.06216717995194828, 0.06065306765472188, 0.05921990525442011, 0.05763497177923427, 0.05609911229329951, 0.054522025244376236, 0.05302696062887416]"
train_acc,"[0.32018823529411766, 0.4026823529411765, 0.43828235294117646, 0.4582117647058824, 0.4772705882352941, 0.4968941176470588, 0.5122823529411765, 0.5254352941176471, 0.5383058823529412, 0.5515764705882353, 0.5641411764705883, 0.5764705882352941, 0.5894352941176471, 0.5994352941176471, 0.6136, 0.6262352941176471, 0.6363529411764706, 0.6502117647058824, 0.6632235294117647, 0.6758117647058823]"
val_loss,"[0.09200309098561604, 0.08517069902420044, 0.08337096629142761, 0.08033028775850931, 0.08032926184336345, 0.07940229137738546, 0.07869258654912313, 0.07404757238229116, 0.07659816766579945, 0.07499352671305339, 0.07368218483130137, 0.07556336577733358, 0.07283369364738464, 0.07343300544420878, 0.07474311958154042, 0.07625873978932698, 0.07375015645821889, 0.07362428365548451, 0.07651327598889669, 0.07635658243497213]"
val_acc,"[0.3566666666666667, 0.416, 0.44466666666666665, 0.4629333333333333, 0.4636, 0.47026666666666667, 0.4724, 0.5108, 0.49866666666666665, 0.5088, 0.5224, 0.5042666666666666, 0.5265333333333333, 0.5277333333333334, 0.5158666666666667, 0.5182666666666667, 0.5361333333333334, 0.5426666666666666, 0.5366666666666666, 0.5466666666666666]"
time,289.1908679008484
test_loss,0.07304762653112412
test_correct,"[641.0, 550.0, 263.0, 465.0, 518.0, 322.0, 698.0, 570.0, 669.0, 609.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,53.05
