,0
train_loss,"[0.09672715327178731, 0.07634444585407482, 0.0661525430805543, 0.05830881361540626, 0.052080912079530604, 0.04714631883256576, 0.0424873630621854, 0.03889090602327796, 0.03495285121272592, 0.031943928764848147, 0.029620738669002757, 0.026767807547485128, 0.024679958693420184, 0.023006253148527705, 0.02194557644549538, 0.02030723217164769, 0.02002164017452913, 0.01910438556951635, 0.01794442108518937, 0.01767002717326669]"
train_acc,"[0.4048470588235294, 0.5492235294117647, 0.6221176470588236, 0.6794588235294118, 0.722635294117647, 0.7557411764705882, 0.7909176470588235, 0.812564705882353, 0.8416, 0.8619764705882353, 0.8798117647058824, 0.8995764705882353, 0.9154823529411765, 0.9268705882352941, 0.9339529411764705, 0.9450823529411765, 0.9470352941176471, 0.9547294117647059, 0.9626588235294118, 0.9662823529411765]"
val_loss,"[0.0850402006149292, 0.09279385749499003, 0.07114373118877411, 0.05950811587969462, 0.06977508533000946, 0.06129167338212331, 0.06097537284692128, 0.059078108183542886, 0.05514235736131668, 0.0699521225531896, 0.05878630642096202, 0.06310532714525859, 0.059504117552439374, 0.05932815502882004, 0.05981117983659109, 0.06377804486354192, 0.0612741561849912, 0.061695531125863394, 0.0645462869445483, 0.0668528724749883]"
val_acc,"[0.4846666666666667, 0.49866666666666665, 0.5896, 0.6738666666666666, 0.6293333333333333, 0.6717333333333333, 0.6902666666666667, 0.6977333333333333, 0.7356, 0.6896, 0.7237333333333333, 0.71, 0.7382666666666666, 0.7512, 0.7513333333333333, 0.7497333333333334, 0.7549333333333333, 0.7628, 0.7553333333333333, 0.7457333333333334]"
time,3166.9556427001953
test_loss,0.05626626456975937
test_correct,"[805.0, 866.0, 614.0, 570.0, 646.0, 687.0, 803.0, 699.0, 829.0, 806.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,73.25
