,0
train_loss,"[0.13998281035703772, 0.12137071497580584, 0.11049822957936455, 0.10271579194629894, 0.09681633097424226, 0.09232339198729571, 0.08885216585888582, 0.08614107394498938, 0.08390770153718836, 0.08236545927664812, 0.08126079521319446, 0.08028061906870673, 0.07932661164788639, 0.07862168141673594, 0.07833398698778714, 0.0776413557066637, 0.07737996687187867, 0.07704257319674772, 0.07671456926570219, 0.07646358418324414]"
train_acc,"[0.31736470588235294, 0.3970823529411765, 0.4258588235294118, 0.44691764705882353, 0.4591294117647059, 0.47204705882352943, 0.48207058823529414, 0.4912, 0.4991764705882353, 0.5032235294117647, 0.5076941176470589, 0.5134588235294117, 0.5210823529411764, 0.5243529411764706, 0.5267058823529411, 0.5324941176470588, 0.5368235294117647, 0.5423058823529412, 0.5429176470588235, 0.5464705882352942]"
val_loss,"[0.12671166426340738, 0.1158260483264923, 0.10679308188756306, 0.09999547239939371, 0.10172902307510376, 0.09120241667429606, 0.08685485057830811, 0.09080683193206787, 0.08319902831713359, 0.08520365222295126, 0.08386557397842408, 0.08501693199475606, 0.08332718348503113, 0.08222387007077535, 0.08537294144630432, 0.08082261129220326, 0.08532726049423217, 0.08317388162612915, 0.08209440846443176, 0.08710968435605367]"
val_acc,"[0.38333333333333336, 0.41013333333333335, 0.418, 0.4448, 0.40386666666666665, 0.46813333333333335, 0.4992, 0.4438666666666667, 0.5048, 0.4849333333333333, 0.4884, 0.4861333333333333, 0.4928, 0.5022666666666666, 0.478, 0.5048, 0.4832, 0.4901333333333333, 0.5024, 0.48586666666666667]"
time,262.2841303348541
test_loss,0.08121367318034171
test_correct,"[648.0, 498.0, 260.0, 281.0, 470.0, 326.0, 757.0, 695.0, 598.0, 581.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,51.14
