,0
train_loss,"[0.09932945760839125, 0.07529104317356558, 0.06365030648147359, 0.05503330558117698, 0.04856591441491071, 0.04306647292024949, 0.03853187130759744, 0.03427118908412316, 0.030414423890674815, 0.02673246448338032, 0.023111880104682025, 0.020018230436917615, 0.016934658469084433, 0.014683142886266988, 0.01282805233538589, 0.0108065839580315, 0.009831889395185691, 0.008646009086538106, 0.008704435622234665, 0.007492390684483518]"
train_acc,"[0.2712941176470588, 0.4596235294117647, 0.5462117647058824, 0.6147764705882353, 0.6572235294117647, 0.6968, 0.7288, 0.7592235294117647, 0.7837176470588235, 0.8120941176470589, 0.8364235294117647, 0.8586588235294118, 0.8800470588235294, 0.8952235294117648, 0.9095294117647059, 0.9240705882352941, 0.9294117647058824, 0.9390823529411765, 0.9384470588235294, 0.9483764705882353]"
val_loss,"[0.08198467609087626, 0.06824438823858897, 0.06027131654421489, 0.05251834779580434, 0.0499539081454277, 0.04590871439377467, 0.04588088858524958, 0.04686790753602982, 0.042648888540267944, 0.04981691918174426, 0.046187823609511056, 0.04887927403151989, 0.05110181351204713, 0.05710659327507019, 0.06355394130547841, 0.06686856876512369, 0.07174538671175638, 0.07788031964500745, 0.08307619053522745, 0.08141971084475517]"
val_acc,"[0.4073333333333333, 0.5124, 0.5697333333333333, 0.6258666666666667, 0.6505333333333333, 0.676, 0.684, 0.6857333333333333, 0.7093333333333334, 0.6908, 0.6993333333333334, 0.7017333333333333, 0.7052, 0.7033333333333334, 0.6902666666666667, 0.6918666666666666, 0.7, 0.6777333333333333, 0.684, 0.6942666666666667]"
time,290.7780530452728
test_loss,0.04480380559712648
test_correct,"[732.0, 819.0, 578.0, 395.0, 618.0, 683.0, 800.0, 785.0, 824.0, 770.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,70.04
