,0
train_loss,"[12.397759532255284, 2.3145653373269472, 1.7664462577371036, 1.7630616832957549, 1.7613355413997875, 1.7613630179910098, 1.7613598403033088, 1.7613768114875346, 1.7613220082002528, 1.7614074427885167, 1.7614178714527804, 1.7613329325058882, 1.7613260320326862, 1.7613969987757065, 1.7613686025282915, 1.761419641382554, 1.7614059073055492, 1.761382374123966, 1.7614753025728114, 1.761437455031451]"
train_acc,"[0.10703529411764706, 0.14475294117647058, 0.11418823529411765, 0.10068235294117647, 0.1012, 0.10138823529411764, 0.10014117647058823, 0.09894117647058824, 0.10261176470588235, 0.09978823529411765, 0.09811764705882353, 0.09927058823529412, 0.10075294117647059, 0.09804705882352942, 0.10037647058823529, 0.09847058823529412, 0.1004, 0.10023529411764706, 0.09912941176470588, 0.09945882352941177]"
val_loss,"[7.8235891255696615, 1.8090668279012043, 1.7649470748901368, 1.7621859934488933, 1.7609342966715495, 1.7604229792277017, 1.7613624618530273, 1.7606388158162436, 1.7623973876953125, 1.7616138814290365, 1.7609791814168294, 1.7618939107259115, 1.7623947179158528, 1.7613090255737305, 1.7615549438476563, 1.761080983988444, 1.760993586730957, 1.7606641454060872, 1.7609716532389323, 1.7606554692586263]"
val_acc,"[0.09786666666666667, 0.10253333333333334, 0.102, 0.09666666666666666, 0.104, 0.104, 0.10226666666666667, 0.10226666666666667, 0.09506666666666666, 0.102, 0.102, 0.09666666666666666, 0.09506666666666666, 0.102, 0.10106666666666667, 0.09506666666666666, 0.09786666666666667, 0.10173333333333333, 0.09986666666666667, 0.10226666666666667]"
time,1069.5031621456146
test_loss,1.7604369373321533
test_correct,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1000.0, 0.0, 0.0, 0.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,10.0
