,0
train_loss,"[0.5208989530984093, 0.11081430584963631, 0.10952350528660942, 0.1090285490176257, 0.10887663913895101, 0.10893542011204888, 0.10876944939949933, 0.10874694975965163, 0.10873164904538322, 0.10854262726727654, 0.10868010605643777, 0.10853389506901012, 0.10862832837946275, 0.10857835122276754, 0.1085597565202152, 0.10848707470613367, 0.10846638182471781, 0.10846589249442605, 0.10856570849699132, 0.10862373362429002]"
train_acc,"[0.1888, 0.2291058823529412, 0.23472941176470588, 0.23832941176470587, 0.23854117647058823, 0.23534117647058825, 0.23811764705882352, 0.24181176470588236, 0.23851764705882353, 0.23981176470588236, 0.2379058823529412, 0.23698823529411764, 0.23752941176470588, 0.24035294117647057, 0.23983529411764706, 0.23948235294117648, 0.24004705882352942, 0.2379294117647059, 0.23863529411764706, 0.23651764705882353]"
val_loss,"[0.11091455044746398, 0.11129870397249858, 0.10906083990732829, 0.10865640686353048, 0.10655424108505249, 0.10779330237706503, 0.10730764490763346, 0.10822464475631714, 0.10658220012982686, 0.11112261702219645, 0.1078104212919871, 0.10585830779075622, 0.10618286911646525, 0.10836126230557759, 0.10914144655863443, 0.10838979770342509, 0.10588422374725341, 0.10908307005564372, 0.1065367518901825, 0.10655007568995158]"
val_acc,"[0.21986666666666665, 0.21453333333333333, 0.23346666666666666, 0.23853333333333335, 0.2636, 0.2472, 0.2521333333333333, 0.23706666666666668, 0.26266666666666666, 0.23733333333333334, 0.25, 0.2638666666666667, 0.2652, 0.2436, 0.23906666666666668, 0.2488, 0.26626666666666665, 0.23013333333333333, 0.24533333333333332, 0.2428]"
time,304.1531550884247
test_loss,0.10606038330793381
test_correct,"[508.0, 78.0, 0.0, 132.0, 122.0, 273.0, 597.0, 0.0, 348.0, 521.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,25.79
