,0
train_loss,"[6.515141592856015, 0.8252673488392549, 0.6762345873440013, 0.6176549460691564, 0.5554139390608843, 0.49612204024370976, 0.4376492770138909, 0.3894855590371525, 0.3432354257359224, 0.3025801606346579, 0.2615961989458869, 0.21948114360360538, 0.1897510458385243, 0.16041089606004602, 0.13146288704591638, 0.11111342568117029, 0.10591761847664329, 0.10525922724779914, 0.10448851693658268, 0.10376574263853185]"
train_acc,"[0.29421176470588234, 0.16705882352941176, 0.1320705882352941, 0.14016470588235294, 0.15218823529411765, 0.168, 0.17494117647058824, 0.18065882352941176, 0.18341176470588236, 0.1884, 0.21588235294117647, 0.2780705882352941, 0.3075294117647059, 0.36783529411764704, 0.41211764705882353, 0.4331294117647059, 0.4467764705882353, 0.45505882352941174, 0.4646588235294118, 0.4708235294117647]"
val_loss,"[1.1355764572143554, 0.8663813493092855, 0.60604915822347, 0.5339575756072998, 0.5234919329325358, 1.7307807339986165, 0.3862500652949015, 0.3680999547958374, 0.38764791024525963, 0.32133498395284016, 0.2404448948542277, 0.20800642347335815, 0.19362340478897094, 0.14291770420074462, 0.11962243089675903, 0.10693344990412394, 0.10635817165374756, 0.1029737417380015, 0.10128538066546122, 0.10570337724685669]"
val_acc,"[0.17733333333333334, 0.1484, 0.09946666666666666, 0.13333333333333333, 0.16133333333333333, 0.10586666666666666, 0.19346666666666668, 0.16373333333333334, 0.16546666666666668, 0.14786666666666667, 0.23813333333333334, 0.256, 0.2212, 0.4182666666666667, 0.42973333333333336, 0.4381333333333333, 0.44306666666666666, 0.47613333333333335, 0.4842666666666667, 0.4633333333333333]"
time,1099.2128765583038
test_loss,0.10155240533351899
test_correct,"[670.0, 482.0, 252.0, 271.0, 310.0, 493.0, 512.0, 615.0, 451.0, 730.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,47.86
