,0
train_loss,"[2.0311581348194796, 1.465118230752384, 1.0437705856323243, 0.7414533703523524, 0.5345530490426457, 0.3950231643003576, 0.3066606618095847, 0.2526936433679917, 0.22335735060186948, 0.19853208553089816, 0.17902990522945628, 0.16535679227604586, 0.1569224727967206, 0.150535187143438, 0.1449095488211688, 0.14175491729624132, 0.1352377507209778, 0.13759599761401906, 0.12962845243566176, 0.13074209398942835]"
train_acc,"[0.38992941176470586, 0.5332941176470588, 0.607764705882353, 0.6444235294117647, 0.6632705882352942, 0.684, 0.6923058823529412, 0.6992705882352941, 0.694635294117647, 0.697764705882353, 0.7197882352941176, 0.729035294117647, 0.7377411764705882, 0.7417411764705882, 0.7493882352941177, 0.7547529411764706, 0.7690588235294118, 0.7721176470588236, 0.786164705882353, 0.7770588235294118]"
val_loss,"[1.724531154378255, 1.2282271957397461, 0.9046051895141601, 0.6319384751637777, 0.47228967475891115, 0.3615565757751465, 0.2922375551859538, 0.24096913792292277, 0.20873932377497356, 0.19746223882039388, 0.1805429886182149, 0.1834123792966207, 0.1561258386294047, 0.19230844303766886, 0.14588756278355916, 0.15800859457651775, 0.13844641908009847, 0.1556517890294393, 0.1338527369817098, 0.1320888048171997]"
val_acc,"[0.4766666666666667, 0.6029333333333333, 0.46, 0.6025333333333334, 0.5721333333333334, 0.6136, 0.5864, 0.6324, 0.6918666666666666, 0.6888, 0.6577333333333333, 0.6105333333333334, 0.7184, 0.5514666666666667, 0.7253333333333334, 0.6558666666666667, 0.7269333333333333, 0.6657333333333333, 0.7377333333333334, 0.7426666666666667]"
time,1112.851969242096
test_loss,0.1331555330991745
test_correct,"[840.0, 787.0, 594.0, 713.0, 660.0, 524.0, 759.0, 817.0, 810.0, 889.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,73.93
