,0
train_loss,"[9.198630378812902, 3.0687010706284465, 2.0890729383580826, 1.8357089969410616, 1.677313230940875, 1.535511784362793, 1.3910360194037943, 1.2313624066072353, 1.0794673676434685, 0.932960204001034, 0.7926975843092975, 0.655515149195054, 0.5198148129631491, 0.38529138519062717, 0.2511161138085758, 0.12906779729618745, 0.09784105148315429, 0.09659680166805491, 0.09475819256726434, 0.09340360214009004]"
train_acc,"[0.3754823529411765, 0.3896, 0.40188235294117647, 0.4356235294117647, 0.45981176470588236, 0.47468235294117644, 0.4935294117647059, 0.5182117647058824, 0.5343058823529412, 0.5488, 0.5609411764705883, 0.5636, 0.5708235294117647, 0.5707764705882353, 0.5781647058823529, 0.5749647058823529, 0.5792235294117647, 0.5749411764705883, 0.5786823529411764, 0.5804235294117647]"
val_loss,"[4.457355151367188, 2.3458311350504557, 1.9701361480712891, 1.8093674606323242, 1.6515792701721193, 1.5017307520548502, 1.3587739471435547, 1.2104160288492838, 1.0240834358215332, 0.8675986376444499, 0.7466430828094482, 0.6364643905639649, 0.4685700116475423, 0.3271914126078288, 0.18815809310277304, 0.10574758704503377, 0.10807294592857361, 0.10359719948768616, 0.10191713797251384, 0.10032614917755127]"
val_acc,"[0.3406666666666667, 0.2996, 0.29106666666666664, 0.3078666666666667, 0.27186666666666665, 0.2724, 0.3390666666666667, 0.3324, 0.4478666666666667, 0.5008, 0.39493333333333336, 0.3356, 0.48013333333333336, 0.5138666666666667, 0.5534666666666667, 0.5165333333333333, 0.5068, 0.5262666666666667, 0.5248, 0.5232]"
time,2910.211002588272
test_loss,0.10055826961994171
test_correct,"[843.0, 829.0, 441.0, 425.0, 145.0, 451.0, 470.0, 733.0, 496.0, 337.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,51.7
