,0
train_loss,"[1.6949351277968463, 1.4586895773046158, 1.2592136809853947, 1.0916476027096018, 0.9517577166389016, 0.8376474855310777, 0.7406588886709774, 0.6598484609716079, 0.5918506817088408, 0.535435276255888, 0.48827877147898957, 0.4491147584129782, 0.4171320603538962, 0.39038384022432215, 0.3684444591297823, 0.35037650818544275, 0.3346797832937802, 0.32251580656837014, 0.31164556930766385, 0.30229508413427014]"
train_acc,"[0.4047764705882353, 0.5455294117647059, 0.6204235294117647, 0.6643529411764706, 0.6956705882352942, 0.7155058823529412, 0.7360941176470588, 0.7443294117647059, 0.7588470588235294, 0.7651058823529412, 0.7713176470588236, 0.7768235294117647, 0.782, 0.7870588235294118, 0.7895764705882353, 0.7910117647058823, 0.7984, 0.7979294117647059, 0.804, 0.8078823529411765]"
val_loss,"[1.5636616162618002, 1.3649184997558594, 1.1728038986206055, 1.0173225145975748, 0.8959882054646809, 0.8011249923706054, 0.7057030864715577, 0.6333154576619466, 0.5662416826883951, 0.5183180131276448, 0.4803391212463379, 0.4467476768493652, 0.42149011039733886, 0.39123002007802327, 0.36645257428487144, 0.35526192315419514, 0.35330422439575193, 0.3269534943898519, 0.3173829299290975, 0.30906052754720054]"
val_acc,"[0.5361333333333334, 0.5229333333333334, 0.6292, 0.6761333333333334, 0.6770666666666667, 0.6274666666666666, 0.6958666666666666, 0.6934666666666667, 0.7277333333333333, 0.7174666666666667, 0.7024, 0.6889333333333333, 0.6722666666666667, 0.706, 0.7273333333333334, 0.7218666666666667, 0.6670666666666667, 0.7341333333333333, 0.7365333333333334, 0.7366666666666667]"
time,3215.1385400295258
test_loss,0.3103610764503479
test_correct,"[768.0, 890.0, 781.0, 652.0, 557.0, 515.0, 766.0, 756.0, 911.0, 768.0]"
test_total,"[1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0, 1000.0]"
test_acc,73.64
